City,Price (CHF/Month),Net Price,Additional Costs,Rooms,Living Space,Street,PLZ/City,Description,Eigenschaften,Hauptangaben,Listing URL
Zurich,2’615.–,N/A,N/A,3.5,"83
m2","Sierenzerstrasse 38,",4055 Basel,"!! Einmalige Gelegenheit !!
An der Sierenzerstrasse 38 in 4055 Basel vermieten wir diese wunderbare und frisch renovierte und vollständig sanierte 3½-Zimmer-Attikawohnung. Die Liegenschaft befindet sich an bester Zentrale Lage Iselin Quartier, im Kern der Stadt Basel.
Diese neue sanierte 3.5 Zimmerwohnung ist ausgestattet mit
Wohnfläche: Großzügige und helle Räume mit idealem Grundriss
Küche: Moderne, offene Küche mit hochwertigen Geräten (inkl. Geschirrspüler und Induktionsherd).
Badezimmer: Stilvolles Design mit hochwertigen Materialien, Dusche.
Terrasse: Grosszügige Attika-Terrasse mit viel Privatsphäre und schöner Aussicht, 20.10 m²
Bodenbeläge: Edler Parkett und moderne Fliesen
Lift
Günstigerer Strom wegen Solardach
Lage:
Die Wohnung befindet sich in einer ruhigen und dennoch zentralen Lage. Einkaufsmöglichkeiten, öffentliche Verkehrsmittel und Freizeitangebote sind in wenigen Gehminuten erreichbar.
Der richtige Ort, um nach einem anstrengenden Arbeitstag neue Energie für den nächsten Tag zu tanken.
Melden Sie sich noch Heute für eine Besichtigung und machen Sie sich vor Ort ein Bild dieser attraktiven Wohnung.","Balkon / Terrasse, Ruhige Lage, Kinderfreundlich, Lift, Neubau","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Attikawohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '5', 'Wohnfläche:': '83 m2', 'Letztes Renovationsjahr:': '2022'}",https://www.immoscout24.ch/mieten/4001997233
Zurich,5’735.–,CHF 5’335.–,CHF 400.–,4.5,"150
m2","Unterer Heuberg 15,",4051 Basel,"WOHNEN ÜBER DIE DÄCHER VON BASEL
Die sanierte Liegenschaft befindet sich
an bevorzugter Lage in einer kleinen Nebenstrasse inmitten der
historischen Altstadt von Basel.
Die auf zwei Ebenen verteilte Wohneinheit verfügt über zwei
Schlafzimmer, einen Essbereich, eine moderne Küche, Waschmaschine, Tumbler sowie
einen grosszügig angelegten Wohnraum mit offenem Cheminée. Der
Innenausbau überzeugt mit Charme und Stil; zahlreiche Details wie
Holzbalken, Echtholzböden und Marmor im Bad runden das Angebot
ab.
Im 2. Obergeschoss gibt es einen kleinen, idyllischen Balkon und im
3. Obergeschoss eine weitläufige, sonnige Terrasse mit herrlichem
Blick auf die Umgebung und die ganze Stadt Basel.
Das Objekt liegt in der Fussgängerzone. Für Mieter ist die
Autozufahrt zum Güterumschlag möglich. Einstellhallenplätze
können z.B. in den nahe gelegenen Parkhäusern Rosshof oder
Storchen angemietet werden.
Darüber hinaus besteht die Möglichkeit, eine zusätzliche 3-Zimmer-Wohnung
dazu gemietet werden.
Durch diese Verbindung würde die exklusive Wohnung zu einem
geräumigeren Wohnraum, der ideal für eine grössere Familie oder
Bürotätigkeiten geeignet ist. Diese Option ermöglicht es, den Wohnkomfort
und die Flexibilität zu erhöhen, sodass die Bedürfnisse besser erfüllt
werden können. Wenn Sie an dieser Möglichkeit interessiert sind,
stehen wir Ihnen gerne für weitere Informationen und Details zur Verfügung.","Balkon / Terrasse, Aussicht, Altbau","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Maisonette / Duplex', 'Anzahl Zimmer:': '4.5', 'Etage:': '2', 'Anzahl Etagen:': '3', 'Wohnfläche:': '150 m2', 'Letztes Renovationsjahr:': '2024'}",https://www.immoscout24.ch/mieten/4001902915
Zurich,9’500.–,CHF 8’000.–,CHF 1’500.–,6,"227
m2","St. Alban-Anlage 58,",4052 Basel,"Inmitten des Basler Stadtzentrums, an der St. Alban-Anlage 58 im begehrten Gellert-Quartier, vermieten wir die historischen und zugleich repräsentativen Räumlichkeiten in der Villa St. Alban.
Ein Büro mit Stil und Eleganz.
Ob als prestigeträchtiges Büro, elegante Kanzlei oder repräsentative, diskrete Privatklinik – die Villa St. Alban bietet Flexibilität, Stil und Komfort.
Geprägt durch die historische Bauweise, verfügt die Liegenschaft über sehr hohe Räume und eine eindrucksvolle und repräsentative Empfangshalle.
Kapitell versehene Eingangssäulen, Stuckaturen an den hohen Decken und eine äusserst hochwertige Materialisierung kennzeichnen die Eleganz des Baus im Herzen von Basel und machen die Immobilie zu einem einzigartigen Schmuckstück auf dem Basler Vermietungsmarkt.
Das Erdgeschoss verfügt über 6 Büro-/ Sitzungsräume, eine grosse Terrasse (40 m2) zur Strassenseite, eine historische Veranda (24 m2) zum Innenhof, eine Dachterrasse im 1. OG sowie viele weitere bezaubernde Details. 
Im Untergeschoss stehen ein EDV-Raum, ein WC mit Dusche, ein Fitnessraum sowie zwei Archivräume (61 m2) zur Verfügung.
Zusätzlich verfügt die Liegenschaft über eine eigene Tiefgarage mit über 20 Tiefgaragenplätze. Pro Parkplatz CHF 250.- zzgl. MwSt
Highlights:
Zentrale Lage 
Äusserst repräsentative Mieträumlichkeiten 
Moderne Infrastruktur 
Renommierte Adresse 
4 Büros 
2 Sitzungszimmer / Grossraumbüros
Terrasse (40 m2)
Veranda (24 m2)
Dachterrasse (35 m2) im 1. OG
2 Archivräume (61 m2) im 1. UG
Eindrückliche Empfangshalle 
Tiefgaragenparkplätze (bis zu 20 Autoeinstellplätze)
Bei Fragen dürfen Sie sich gerne an HERRN YANIK LÜCHINGER wenden:
E-Mail: luechinger@pfimmobilien.ch 
Tel.: 061 564 74 33","Balkon / Terrasse, Ruhige Lage, Garage, Lift","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Villa', 'Anzahl Zimmer:': '6', 'Etage:': 'EG', 'Anzahl Etagen:': '1', 'Wohnfläche:': '227 m2', 'Nutzfläche:': '291 m2', 'Letztes Renovationsjahr:': '2002', 'Baujahr:': '1865'}",https://www.immoscout24.ch/mieten/4001976112
Zurich,4’900.–,N/A,N/A,5.5,"135
m2","Weiherweg 38,",4054 Basel,"Erleben Sie exklusives Wohnen in einer komplett neu renovierten 5.5-Zimmer-Wohnung am Weiherweg 38 in Basel, direkt beim Schützenmattpark. Diese stilvolle Wohnung wurde im Jahr 2025 einer umfassenden, erstklassigen Sanierung unterzogen und ist nun erstmalig beziehbar.
Highlights der Wohnung:
✅ 135 m² Wohnfläche mit durchdachtem, grosszügigem Grundriss
✅ Zwei Balkone mit insgesamt ca. 17–18 m², die Ihnen eine atemberaubende Aussicht bieten
✅ Drei komplett neue, moderne Nasszellen: Bad/WC, Dusche/WC & Gäste-WC
✅ Exklusive Küche von einem renommierten Küchenbauer – inkl. Quooker, der auf Knopfdruck kochendes UND sprudelndes Wasser liefert
✅ Komplett neuer Miele-Wäscheturm in der Wohnung mit integrierter Schublade für eine besonders komfortable Wasch-Trocken-Säule
✅ Geräumiger Keller, ideal für zusätzlichen Stauraum
✅ Edler Kamin, der für Gemütlichkeit sorgt
✅ Lift im Haus für maximalen Komfort
🏡 Top-Lage am Schützenmattpark – einer der beliebtesten Grünflächen Basels, ideal für Erholung, Sport und Freizeit.
🚋 Hervorragende Anbindung an den öffentlichen Verkehr – Tram- und Busstationen in unmittelbarer Nähe ermöglichen eine schnelle Verbindung in die Innenstadt und Umgebung.
✈️ Schnelle Erreichbarkeit des Flughafens – der EuroAirport Basel-Mulhouse ist in kurzer Zeit erreichbar, ideal für Reisende und Pendler.
Zusätzliche Option:
🚗 Einstellhallenplatz für CHF 160.–/Monat mietbar
Diese Traumwohnung bietet Ihnen ein perfektes Wohngefühl mit hochwertigster Ausstattung. Vereinbaren Sie jetzt eine Besichtigung und lassen Sie sich begeistern!","Balkon / Terrasse, Waschmaschine, Aussicht, Ruhige Lage, Parkplatz, Garage, Lift","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '5.5', 'Etage:': '8', 'Wohnfläche:': '135 m2', 'Letztes Renovationsjahr:': '2025', 'Baujahr:': '1965'}",https://www.immoscout24.ch/mieten/4001979979
Zurich,3’445.–,CHF 3’245.–,CHF 200.–,3,"71
m2","Unterer Heuberg 15,",4051 Basel,"WOHNEN ÜBER DIE DÄCHER VON BASEL
Die sanierte Liegenschaft befindet sich
an bevorzugter Lage in einer kleinen Nebenstrasse inmitten der
historischen Altstadt von Basel.
Die wunderschöne Wohnung verfügt über zwei
Schlafzimmer, einen Wohn/Essbereich und eine moderne Küche sowie WM/T.
Der Innenausbau überzeugt mit Charme und Stil.
Ein idyllischer Balkon und mit herrlichem Blick auf die
Umgebung und die ganze Stadt Basel runden das Angebot ab.
Das Objekt liegt in der Fussgängerzone. Für Mieter ist die
Autozufahrt zum Güterumschlag möglich. Einstellhallenplätze
können z.B. in den nahe gelegenen Parkhäusern Rosshof oder
Storchen angemietet werden.","Balkon / Terrasse, Aussicht, Altbau","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3', 'Etage:': '2', 'Wohnfläche:': '71 m2', 'Letztes Renovationsjahr:': '2024'}",https://www.immoscout24.ch/mieten/4001902917
Zurich,4’225.–,CHF 3’558.–,CHF 667.–,3,"73
m2","St. Alban-Anlage 58,",4052 Basel,"Inmitten des Basler Stadtzentrums, an der St. Alban-Anlage 58 im begehrten Gellert-Quartier, vermieten wir die historischen und zugleich repräsentativen Räumlichkeiten in der Villa St. Alban.
Ein Büro mit Stil und Eleganz.
Ob als prestigeträchtiges Büro, elegante Kanzlei oder repräsentative, diskrete Privatklinik – die Villa St. Alban bietet Flexibilität, Stil und Komfort.
Geprägt durch die historische Bauweise, verfügt die Liegenschaft über sehr hohe Räume und eine eindrucksvolle und repräsentative Empfangshalle.
Kapitell versehene Eingangssäulen, Stuckaturen an den hohen Decken und eine äusserst hochwertige Materialisierung kennzeichnen die Eleganz des Baus im Herzen von Basel und machen die Immobilie zu einem einzigartigen Schmuckstück auf dem Basler Vermietungsmarkt.
Die linke Seite des Erdgeschosses verfügt über drei Büro-/Sitzungsräume, eine historische Veranda (24 m²) zum Innenhof und viele weitere bezaubernde Details. Zusätzlich steht im 1. Obergeschoss eine Dachterrasse zur Verfügung.
Im Untergeschoss stehen ein EDV-Raum, ein WC mit Dusche, ein Fitnessraum sowie zwei Archivräume (61 m2) zur Mitbenutzung zur Verfügung.
Zusätzlich verfügt die Liegenschaft über eine eigene Tiefgarage mit über 20 Tiefgaragenplätze. Pro Parkplatz CHF 250.- zzgl. MwSt
Highlights:
Zentrale Lage 
Äusserst repräsentative Mieträumlichkeiten 
Moderne Infrastruktur 
Renommierte Adresse 
2 Büros 
1 Sitzungszimmer / Grossraumbüro
Veranda (24 m2) 
Dachterrasse (35 m2) im 1. OG
2 Archivräume (61 m2) im 1. UG
Eindrückliche Empfangshalle 
Tiefgaragenparkplätze (bis zu 20 Autoeinstellplätze)
Bei Fragen dürfen Sie sich gerne an HERRN YANIK LÜCHINGER wenden:
E-Mail: luechinger@pfimmobilien.ch 
Tel.: 061 564 74 33","Balkon / Terrasse, Ruhige Lage, Garage, Lift","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Villa', 'Anzahl Zimmer:': '3', 'Etage:': 'EG', 'Anzahl Etagen:': '1', 'Wohnfläche:': '73 m2', 'Nutzfläche:': '97 m2', 'Letztes Renovationsjahr:': '2002', 'Baujahr:': '1865'}",https://www.immoscout24.ch/mieten/4001989160
Zurich,5’275.–,CHF 4’442.–,CHF 833.–,3,"86
m2","St. Alban-Anlage 58,",4052 Basel,"Inmitten des Basler Stadtzentrums, an der St. Alban-Anlage 58 im begehrten Gellert-Quartier, vermieten wir die historischen und zugleich repräsentativen Räumlichkeiten in der Villa St. Alban.
Ein Büro mit Stil und Eleganz.
Ob als prestigeträchtiges Büro, elegante Kanzlei oder repräsentative, diskrete Privatklinik – die Villa St. Alban bietet Flexibilität, Stil und Komfort.
Geprägt durch die historische Bauweise, verfügt die Liegenschaft über sehr hohe Räume und eine eindrucksvolle und repräsentative Empfangshalle.
Kapitell versehene Eingangssäulen, Stuckaturen an den hohen Decken und eine äusserst hochwertige Materialisierung kennzeichnen die Eleganz des Baus im Herzen von Basel und machen die Immobilie zu einem einzigartigen Schmuckstück auf dem Basler Vermietungsmarkt.
Die rechte Seite des Erdgeschosses verfügt über drei Büro-/Sitzungsräume, eine grosse Terrasse (40 m²) zum Innenhof und viele weitere bezaubernde Details. Zusätzlich steht im 1. Obergeschoss eine Dachterrasse zur Verfügung.
Im Untergeschoss stehen ein EDV-Raum, ein WC mit Dusche, ein Fitnessraum sowie zwei Archivräume (61 m2) zur Mitbenutzung zur Verfügung.
Zusätzlich verfügt die Liegenschaft über eine eigene Tiefgarage mit über 20 Tiefgaragenplätze. Pro Parkplatz CHF 250.- zzgl. MwSt
Highlights:
Zentrale Lage 
Äusserst repräsentative Mieträumlichkeiten 
Moderne Infrastruktur 
Renommierte Adresse 
2 Büros 
1 Sitzungszimmer / Grossraumbüro
Terrasse (40 m2) 
Dachterrasse (35 m2) im 1. OG
2 Archivräume (61 m2) im 1. UG
Eindrückliche Empfangshalle 
Tiefgaragenparkplätze (bis zu 20 Autoeinstellplätze) 
Bei Fragen dürfen Sie sich gerne an HERRN YANIK LÜCHINGER wenden:
E-Mail: luechinger@pfimmobilien.ch 
Tel.: 061 564 74 33","Balkon / Terrasse, Ruhige Lage, Garage, Lift","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Villa', 'Anzahl Zimmer:': '3', 'Etage:': 'EG', 'Anzahl Etagen:': '1', 'Wohnfläche:': '86 m2', 'Nutzfläche:': '126 m2', 'Letztes Renovationsjahr:': '2002', 'Baujahr:': '1865'}",https://www.immoscout24.ch/mieten/4001989159
Zurich,3’180.–,CHF 2’900.–,CHF 280.–,4.5,"110
m2","Erlenmattstr. 67,",4058 Basel,"Im ""Bâleo Erlenmatt"" ist eine helle Wohnung mit folgendem Ausbaustandard verfügbar:

- Offener Wohn- und Essbereich
- Moderne Küche mit Glaskeramik und Geschirrspüler
- Bad/WC mit Badwanne
- Bad/WC mit einer Dusche
- Alle Zimmer mit edlem Eichenparkett
- Nasszellen mit Plattenboden
- Einbauschrank im Entrée
- Grosszügige Loggia mit Ausblick zum Park
- 2 Reduit, Eigene Waschmaschine/Tumbler im Reduit
- Kellerabteil
- Lift

Ein Einstellplatz kann für CHF 180.00 / Monat dazu gemietet werden.

Bitte beachten Sie, dass die Bilder dem Ausbaustandard entsprechen und leicht vom Original abweichen können.

Die öffentlichen Verkehrsmittel finden Sie in der unmittelbaren Umgebung. Einkaufsmöglichkeiten sind im Untergeschoss vorhanden. Die Autobahn erreichen Sie in Kürze.

Das Gebäude ist nach Minergie und greenproperty gold zertifiziert.

Eine Liegenschaft mit
LIVING SERVICES
www.livingservices.ch

Wir freuen uns auf Ihre Bewerbung","Haustiere erlaubt, Garage, Neubau, Minergie zertifiziert, Minergie Bauweise","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4.5', 'Etage:': '5', 'Wohnfläche:': '110 m2'}",https://www.immoscout24.ch/mieten/4001959814
Zurich,1’407.–,N/A,N/A,1,"23
m2","Hochstrasse 16,",4053 Basel,"City Pop - Die flexible Lösung für kurze und lange Aufenthalte, die Ihnen ein Gefühl von Zuhause vermittelt.
Ab 7 November 2024 bieten wir zentral gelegene Apartments in Basel an, die zwischen 23 und 68 Quadratmeter groß sind. Ab 325 CHF/Woche können Sie aus verschiedenen Pop-Typen wählen: S, M, XL, 2.5 und 3.5.
Diese möblierten Apartments bieten ein authentisches Wohnerlebnis. Da die Bauarbeiten noch im Gange sind, stehen uns noch keine Originalfotos zur Verfügung. Die beigefügten Bilder stammen aus anderen City Pop Apartments und sind als repräsentativ zu betrachten.
Die Apartments sind vollständig ausgestattet, einschließlich Küche, Wohnzimmer, Schlafzimmer und Bad;
Vollständiges Inventar für die Küche (Teller, Gläser, Töpfe usw.);
Schlafbereich und Bad (mit Handtuchset);
Nebenkosten inklusive;
Wi-Fi und Smart TV;
Die Pop Apartments können für einen Mindestzeitraum von 4 Wochen gebucht werden. Zudem wird eine breite Palette von Standard- und Zusatzdiensten verfügbar sein, die über die City Pop App aktiviert werden können, darunter:
Reinigungsservice (wöchentlich, zweiwöchentlich);
Kellerraum;
Parkplatz;
Das Gebäude wird auch über fantastische Gemeinschaftsräume verfügen.
Gym
Co-living
Co-working
Jeder Gast kann sein Servicepaket individuell anpassen, um seine Bedürfnisse und seinen Lebensstil optimal zu erfüllen.
Es ist so einfach wie ein Hotelzimmer zu buchen! Die Reservierungen sind jetzt geöffnet! Worauf wartest du noch? Buche jetzt deinen Aufenthalt in Basel!
Buchungen Um ein Apartment zu buchen oder andere Optionen zu entdecken, laden Sie einfach unsere App herunter:
Für iOS: Suchen Sie nach City Pop im App Store.
Für Android: Suchen Sie nach City Pop im Google Play Store.
Nach dem Herunterladen und Installieren der App erstellen Sie ein Konto und folgen diesen Schritten:
Wählen Sie „Search and Book Now!“.
Wählen Sie Ihren gewünschten Standort.
Geben Sie Ihre gewünschten Check-in- und Check-out-Daten ein.
Lade die City Pop App herunter und buche jetzt!
Wir freuen uns darauf, Sie in Basel willkommen zu heißen!
Wenn Sie Fragen haben oder weitere Informationen benötigen, zögern Sie bitte nicht, uns unter contact.ch@citypop.com zu kontaktieren. Unser Team steht Ihnen gerne zur Verfügung.
--------------------------------------------------------------------------------------------------------------
City Pop - The flexible solution for short and long stays, making you feel at home.
Starting from November 7th 2024, we will offer centrally located apartments in Basel, ranging from 23 to 68 square meters. Starting at 325 CHF/week, you can choose from various Pop types: S, M, XL, 2.5 and 3.5. These furnished apartments will provide an authentic living experience. Since the construction work is still ongoing, we do not yet have original photos. The attached images are from other City Pop apartments and are to be considered representative.
The apartments are fully equipped, including a kitchen, living room, bedroom, and bathroom;
Complete kitchen inventory (plates, glasses, pots, etc.);
Sleeping area and bathroom (with towel set);
All utilities included;
Wi-Fi and Smart TV;
Pop apartments can be booked for a minimum period of 4 weeks. Additionally, a wide range of standard and additional services will be available, activated via the City Pop app, including:
Cleaning service (weekly, biweekly);
Storage room;
Parking;
The building will also feature fantastic communal spaces.
Gym
Co-living
Co-working
Each guest can personalize their service package to best meet their needs and lifestyle.
It's as simple as booking a hotel room! Reservations are now open! What are you waiting for? Book your stay in Basel now!
Bookings To book an apartment or explore available options, simply download our app:
For iOS, search for City Pop in the App Store.
For Android, search for City Pop in the Google Play Store.
After downloading and installing the app, create an account and follow these steps:
Select ""Search and Book Now!""
Choose your preferred location.
Set your desired check-in and check-out dates.
Download the City Pop App and book today!
We look forward to welcoming you to Basel!
If you have any questions or need further information, please do not hesitate to contact us at contact.ch@citypop.com. Our team is here to assist you.","Geschirrspüler, Ruhige Lage, Garage, Lift","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '1', 'Wohnfläche:': '23 m2', 'Letztes Renovationsjahr:': '2024'}",https://www.immoscout24.ch/mieten/4001410291
Zurich,2’361.–,CHF 2’151.–,CHF 210.–,3.5,"83
m2","Erlenmattstr. 83,",4058 Basel,"Kunterbunt und sympathisch, lebendig und unkompliziert, divers und freundlich – das alles ist das Bâleo Erlenmatt. Die Überbauung bietet ein super Angebotsmix für den Alltag: zum Einkaufen, für Fitness und Gesundheit, für die Kids genauso wie für ein relaxtes Feierabendbier. Nach Vereinbarung vermieten wir diese 3.5 Zimmer-Wohnungen mit folgendem Ausbaustandard:

- Einbauschrank im Entrée
- Offener Wohn- und Essbereich
- Moderne Küche mit Glaskeramik und Geschirrspüler
- Badezimmer mit Plattenboden
- Wohn- und Schlafbereich mit hellem Parkettboden
- Grosszügiger Balkon
- Eigene Waschmaschine/Tumbler im Reduit
- Kellerabteil vorhanden
- Lift
- Einstellplatz für CHF 180.00 p. Mt.

Bitte beachten Sie, dass es sich um Beispielbilder handelt, welche dem Ausbaustandard der Wohnung entsprechen.

Das gesamte Wohnangebot sowie die Grundrisse finden Sie auch auf unserer Webseite:
https://baleo-erlenmatt.ch/freie-flaechen/","Haustiere erlaubt, Garage, Neubau, Minergie zertifiziert, Minergie Bauweise","{'Verfügbarkeit:': '01.04.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '4', 'Wohnfläche:': '83 m2'}",https://www.immoscout24.ch/mieten/4001880613
